edad;sexo;departamento_nacimiento;municipio_nacimiento;diploma_educacion;campaña;campaña_fecha;poblacion;comuna_residencia;zona_residencia;cali_nacimiento;codigo_barrio_residencia;nombre_barrio_residencia;comuna
44.0;Hombre;Valle del Cauca;Cali;No reportado;narrativas;16FEB2017;Ciudadano;No reportado;;;1402;Alirio Mora Beltrán;14
37.0;Hombre;Valle del Cauca;Cali;Media académica o clásica;narrativas;16FEB2017;Ciudadano;No reportado;;;1402;Alirio Mora Beltrán;14
20.0;Hombre;Valle del Cauca;Cali;No reportado;narrativas;16FEB2017;Ciudadano;No reportado;;;1402;Alirio Mora Beltrán;14
37.0;Mujer;Valle del Cauca;Cali;Ninguno;narrativas;16FEB2017;Ciudadano;No reportado;;;1402;Alirio Mora Beltrán;14
23.0;Mujer;Risaralda;Quinchía;Técnica profesional;narrativas;16FEB2017;Ciudadano;No reportado;;;1402;Alirio Mora Beltrán;14
21.0;Hombre;Valle del Cauca;Cali;Media académica o clásica;narrativas;01AGO2018;Ciudadano;14;;;1402;Alirio Mora Beltrán;14
15.0;Mujer;Valle del Cauca;Cali;Media académica o clásica;narrativas;01AGO2018;Ciudadano;14;;;1402;Alirio Mora Beltrán;14
16.0;Hombre;Valle del Cauca;Cali;Básica primaria;narrativas;01AGO2018;Ciudadano;14;;;1402;Alirio Mora Beltrán;14
14.0;Mujer;Valle del Cauca;Cali;Básica primaria;narrativas;01AGO2018;Ciudadano;14;;;1402;Alirio Mora Beltrán;14
17.0;Mujer;Quindio;Armenia;Básica primaria;narrativas;01AGO2018;Ciudadano;14;;;1402;Alirio Mora Beltrán;14
13.0;Hombre;Valle del Cauca;Cali;Básica primaria;narrativas;01AGO2018;Ciudadano;14;;;1402;Alirio Mora Beltrán;14
15.0;Mujer;Valle del Cauca;Cali;Básica primaria;narrativas;01AGO2018;Ciudadano;14;;;1402;Alirio Mora Beltrán;14
14.0;Hombre;Valle del Cauca;Cali;Básica primaria;narrativas;01AGO2018;Ciudadano;14;;;1402;Alirio Mora Beltrán;14
17.0;Hombre;Valle del Cauca;Cali;Básica primaria;narrativas;01AGO2018;Ciudadano;14;;;1402;Alirio Mora Beltrán;14
14.0;Hombre;Valle del Cauca;Cali;Básica primaria;narrativas;01AGO2018;Ciudadano;14;;;1402;Alirio Mora Beltrán;14
15.0;Mujer;Valle del Cauca;Cali;Básica primaria;narrativas;01AGO2018;Ciudadano;15;;;1402;Alirio Mora Beltrán;14
;Hombre;;;No reportado;narrativas;01AGO2018;Ciudadano;No reportado;;;1402;Alirio Mora Beltrán;14
17.0;Mujer;Valle del Cauca;Cali;No reportado;narrativas;09ABR2019;Ciudadano;14;cali_zona_urbana;;1402;Alirio Mora Beltrán;14
30.0;Mujer;Cauca;Inzá;No reportado;narrativas;16FEB2017;Ciudadano;No reportado;;;1898;Alto Nápoles;18
30.0;Hombre;Cauca;Morales;Técnica profesional;narrativas;16FEB2017;Ciudadano;No reportado;;;1898;Alto Nápoles;18
29.0;Mujer;Cundinamarca;Tocaima;Media académica o clásica;narrativas;01AGO2018;Ciudadano;No reportado;;;1898;Alto Nápoles;18
19.0;Hombre;Valle del Cauca;Cali;Técnica profesional;narrativas;01AGO2018;Ciudadano;2;;;296;Altos de Menga;2
22.0;Hombre;Antioquia;Zaragoza;Media académica o clásica;narrativas;01AGO2018;Ciudadano;16;;;1604;Antonio Nariño;16
22.0;Hombre;Antioquia;Zaragoza;Media académica o clásica;narrativas;01AGO2018;Ciudadano;16;;;1604;Antonio Nariño;16
19.0;Mujer;Valle del Cauca;Cali;Media académica o clásica;narrativas;01AGO2018;Ciudadano;16;;;1604;Antonio Nariño;16
19.0;Mujer;Valle del Cauca;Cali;Media académica o clásica;narrativas;01AGO2018;Ciudadano;16;;;1604;Antonio Nariño;16
34.0;Hombre;Valle del Cauca;Cali;Básica primaria;narrativas;01AGO2018;Ciudadano;16;;;1604;Antonio Nariño;16
25.0;Hombre;Valle del Cauca;Cali;Tecnológica;narrativas;01AGO2018;Ciudadano;16;;;1604;Antonio Nariño;16
25.0;Mujer;Valle del Cauca;Cali;Media académica o clásica;narrativas;01AGO2018;Ciudadano;16;;;1604;Antonio Nariño;16
20.0;Hombre;Valle del Cauca;Cali;Técnica profesional;narrativas;01AGO2018;Ciudadano;16;;;1604;Antonio Nariño;16
23.0;Hombre;Valle del Cauca;Cali;Técnica profesional;narrativas;01AGO2018;Ciudadano;16;;;1604;Antonio Nariño;16
21.0;Hombre;Valle del Cauca;Cali;Media académica o clásica;narrativas;01AGO2018;Ciudadano;16;;;1604;Antonio Nariño;16
25.0;Hombre;Valle del Cauca;Cali;Media académica o clásica;narrativas;01AGO2018;Ciudadano;16;;;1604;Antonio Nariño;16
22.0;Hombre;Valle del Cauca;Cali;Media académica o clásica;narrativas;01AGO2018;Ciudadano;16;;;1604;Antonio Nariño;16
25.0;Hombre;Valle del Cauca;Cali;Media académica o clásica;narrativas;01AGO2018;Ciudadano;16;;;1604;Antonio Nariño;16
21.0;Hombre;Valle del Cauca;Cali;Media académica o clásica;narrativas;01AGO2018;Ciudadano;16;;;1604;Antonio Nariño;16
28.0;Mujer;Valle del Cauca;Cali;Media académica o clásica;narrativas;01AGO2018;Ciudadano;16;;;1604;Antonio Nariño;16
22.0;Hombre;Valle del Cauca;Cali;Media académica o clásica;narrativas;01AGO2018;Ciudadano;16;;;1604;Antonio Nariño;16
20.0;Hombre;Nariño;El Charco;Media académica o clásica;narrativas;01AGO2018;Ciudadano;16;;;1604;Antonio Nariño;16
34.0;Hombre;Valle del Cauca;Cali;Básica primaria;narrativas;01AGO2018;Ciudadano;16;;;1604;Antonio Nariño;16
21.0;Hombre;Valle del Cauca;Cali;Técnica profesional;narrativas;01AGO2018;Ciudadano;16;;;1604;Antonio Nariño;16
23.0;Mujer;Valle del Cauca;Cali;Técnica profesional;narrativas;01AGO2018;Ciudadano;16;;;1604;Antonio Nariño;16
34.0;Mujer;Valle del Cauca;Cali;Básica primaria;narrativas;01AGO2018;Ciudadano;16;;;1604;Antonio Nariño;16
27.0;Mujer;Valle del Cauca;Cali;Técnica profesional;narrativas;01AGO2018;Ciudadano;15;;;1604;Antonio Nariño;16
22.0;Mujer;Valle del Cauca;Cali;Técnica profesional;narrativas;01AGO2018;Ciudadano;16;;;1604;Antonio Nariño;16
18.0;Mujer;Valle del Cauca;Cali;Media académica o clásica;narrativas;01AGO2018;Ciudadano;16;;;1604;Antonio Nariño;16
20.0;Mujer;Valle del Cauca;Cali;Tecnológica;narrativas;01AGO2018;Ciudadano;No reportado;;;1604;Antonio Nariño;16
17.0;Hombre;Valle del Cauca;Cali;Técnica profesional;narrativas;01AGO2018;Ciudadano;No reportado;;;1604;Antonio Nariño;16
18.0;Hombre;Valle del Cauca;Cali;Técnica profesional;narrativas;01AGO2018;Ciudadano;16;;;1604;Antonio Nariño;16
48.0;Hombre;Cauca;Santander de Quilichao;No reportado;narrativas;16FEB2017;Ciudadano;No reportado;;;905;Aranjuez;9
17.0;Mujer;Valle del Cauca;Cali;Media académica o clásica;narrativas;01AGO2018;Ciudadano;No reportado;;;905;Aranjuez;9
36.0;Hombre;;;Maestría;encuentas;25MAR2018;Técnico administración;2;;Si;203;Arboledas;2
20.0;Mujer;Valle del Cauca;Cali;Técnica profesional;narrativas;01AGO2018;Ciudadano;No reportado;;;812;Atanasio Girardot;8
18.0;Mujer;Valle del Cauca;Cali;No reportado;narrativas;09ABR2019;Ciudadano;8;cali_zona_urbana;;812;Atanasio Girardot;8
19.0;Hombre;Valle del Cauca;Cali;Media académica o clásica;narrativas;16FEB2017;Ciudadano;No reportado;;;1802;Barrio Caldas;18
18.0;Hombre;Nariño;San Andres de Tumaco;Media académica o clásica;narrativas;01AGO2018;Ciudadano;18;;;1802;Barrio Caldas;18
19.0;Hombre;Cauca;;No reportado;narrativas;01AGO2018;Ciudadano;18;;;1802;Barrio Caldas;18
20.0;Mujer;Valle del Cauca;Cali;No reportado;narrativas;09ABR2019;Ciudadano;18;cali_zona_urbana;;1802;Barrio Caldas;18
25.0;Hombre;Bogotá, D.C.;Bogotá, D.C.;No reportado;narrativas;09ABR2019;Ciudadano;18;cali_zona_urbana;;1802;Barrio Caldas;18
30.0;Hombre;;;Profesional;encuentas;25MAR2018;Técnico administración;18;;Si;1802;Barrio Caldas;18
46.0;Hombre;;;Profesional;encuentas;25MAR2018;Técnico administración;18;;Si;1802;Barrio Caldas;18
26.0;Hombre;Valle del Cauca;Buenaventura;Profesional;encuentas;25MAR2018;Técnico administración;18;;No;1802;Barrio Caldas;18
18.0;Mujer;Valle del Cauca;Cali;Técnica profesional;narrativas;01AGO2018;Ciudadano;10;;;1011;Barrio Departamental;10
25.0;Mujer;Valle del Cauca;Cali;No reportado;narrativas;16FEB2017;Ciudadano;No reportado;;;1905;Barrio Eucarístico;19
42.0;Hombre;No reportado;No reportado;Especialización;narrativas;16FEB2017;Ciudadano;No reportado;;;1905;Barrio Eucarístico;19
42.0;Mujer;Cauca;No reportado;No reportado;narrativas;16FEB2017;Ciudadano;No reportado;;;908;Belalcázar;9
19.0;Mujer;Valle del Cauca;Buenaventura;No reportado;narrativas;09ABR2019;Ciudadano;9;cali_zona_urbana;;908;Belalcázar;9
17.0;Hombre;Cauca;Suárez;No reportado;narrativas;09ABR2019;Ciudadano;20;cali_zona_urbana;;2002;Belisario Caicedo;20
19.0;Hombre;Cauca;Suárez;No reportado;narrativas;09ABR2019;Ciudadano;20;cali_zona_urbana;;2002;Belisario Caicedo;20
31.0;Mujer;Valle del Cauca;Palmira;Profesional;encuentas;25MAR2018;Técnico administración;20;;No;2002;Belisario Caicedo;20
47.0;Hombre;No reportado;No reportado;Especialización;narrativas;16FEB2017;Ciudadano;No reportado;;;1909;Bellavista;19
19.0;Mujer;Valle del Cauca;Cali;No reportado;narrativas;09ABR2019;Ciudadano;19;cali_zona_urbana;;1909;Bellavista;19
28.0;Mujer;Valle del Cauca;Cali;No reportado;narrativas;09ABR2019;Ciudadano;20;cali_zona_urbana;;2005;Belén;20
15.0;Mujer;Valle del Cauca;Cali;Media académica o clásica;narrativas;01AGO2018;Ciudadano;8;;;807;Benjamín Herrera;8
21.0;Mujer;Valle del Cauca;Cali;No reportado;narrativas;09ABR2019;Ciudadano;8;cali_zona_urbana;;807;Benjamín Herrera;8
17.0;Mujer;Valle del Cauca;Cali;Media académica o clásica;narrativas;01AGO2018;Ciudadano;9;;;902;Bretaña;9
18.0;Mujer;Valle del Cauca;Cali;No reportado;narrativas;09ABR2019;Ciudadano;9;cali_zona_urbana;;902;Bretaña;9
58.0;Mujer;Cauca;Popayán;No reportado;narrativas;16FEB2017;Ciudadano;No reportado;;;2006;Brisas de Mayo;20
17.0;Mujer;Cauca;Morales;No reportado;narrativas;16FEB2017;Ciudadano;No reportado;;;2006;Brisas de Mayo;20
9.0;Mujer;Cauca;Morales;No reportado;narrativas;16FEB2017;Ciudadano;No reportado;;;2006;Brisas de Mayo;20
42.0;Mujer;Quindio;Córdoba;No reportado;narrativas;09ABR2019;Ciudadano;20;cali_zona_urbana;;2006;Brisas de Mayo;20
30.0;Mujer;Valle del Cauca;Cali;No reportado;narrativas;09ABR2019;Ciudadano;20;cali_zona_urbana;;2006;Brisas de Mayo;20
19.0;Mujer;Valle del Cauca;Cali;No reportado;narrativas;09ABR2019;Ciudadano;20;cali_zona_urbana;;2006;Brisas de Mayo;20
60.0;Mujer;Valle del Cauca;El Cerrito;No reportado;narrativas;16FEB2017;Ciudadano;No reportado;;;219;Brisas de los Alamos;2
18.0;Mujer;Valle del Cauca;;Tecnológica;narrativas;01AGO2018;Ciudadano;No reportado;;;219;Brisas de los Alamos;2
;Hombre;Valle del Cauca;Cali;No reportado;narrativas;01AGO2018;Ciudadano;2;;;219;Brisas de los Alamos;2
18.0;Hombre;Valle del Cauca;Cali;Técnica profesional;narrativas;01AGO2018;Ciudadano;No reportado;;;219;Brisas de los Alamos;2
24.0;Mujer;Valle del Cauca;Cali;No reportado;narrativas;09ABR2019;Ciudadano;2;cali_zona_urbana;;219;Brisas de los Alamos;2
18.0;Mujer;Valle del Cauca;Cali;No reportado;narrativas;09ABR2019;Ciudadano;2;cali_zona_urbana;;219;Brisas de los Alamos;2
21.0;Mujer;Caldas;Manizales;Ninguno;narrativas;16FEB2017;Ciudadano;No reportado;;;1801;Buenos Aires;18
24.0;Hombre;Valle del Cauca;;Básica primaria;narrativas;01AGO2018;Ciudadano;18;;;1801;Buenos Aires;18
18.0;Mujer;Valle del Cauca;;Técnica profesional;narrativas;01AGO2018;Ciudadano;18;;;1801;Buenos Aires;18
18.0;Mujer;Valle del Cauca;Palmira;No reportado;narrativas;01AGO2018;Ciudadano;18;;;1801;Buenos Aires;18
15.0;Mujer;Valle del Cauca;Cali;Básica primaria;narrativas;01AGO2018;Ciudadano;18;;;1801;Buenos Aires;18
19.0;Mujer;Valle del Cauca;Buenaventura;No reportado;narrativas;09ABR2019;Ciudadano;18;cali_zona_urbana;;1801;Buenos Aires;18
32.0;Hombre;Chocó;Bajo Baudó;No reportado;narrativas;09ABR2019;Ciudadano;18;cali_zona_urbana;;1801;Buenos Aires;18
27.0;Hombre;Valle del Cauca;Buenaventura;No reportado;narrativas;09ABR2019;Ciudadano;18;cali_zona_urbana;;1801;Buenos Aires;18
27.0;Hombre;Chocó;Bajo Baudó;No reportado;narrativas;09ABR2019;Ciudadano;18;cali_zona_urbana;;1801;Buenos Aires;18
25.0;Intersexual;Valle del Cauca;Cali;No reportado;narrativas;09ABR2019;Ciudadano;18;cali_zona_urbana;;1801;Buenos Aires;18
33.0;Hombre;;;Maestría;encuentas;25MAR2018;Técnico administración;18;;Si;1801;Buenos Aires;18
17.0;Mujer;Cauca;Popayán;Técnica profesional;narrativas;16FEB2017;Ciudadano;No reportado;;;2103;Calimio Desepaz;21
86.0;Mujer;Valle del Cauca;Cali;Ninguno;narrativas;16FEB2017;Ciudadano;No reportado;;;2103;Calimio Desepaz;21
70.0;Hombre;Valle del Cauca;;Básica primaria;narrativas;01AGO2018;Ciudadano;21;;;2103;Calimio Desepaz;21
31.0;Mujer;Valle del Cauca;Cali;Técnica profesional;narrativas;01AGO2018;Ciudadano;No reportado;;;2103;Calimio Desepaz;21
20.0;Hombre;Valle del Cauca;Cali;Técnica profesional;narrativas;01AGO2018;Ciudadano;21;;;2103;Calimio Desepaz;21
17.0;Hombre;Valle del Cauca;Cali;Técnica profesional;narrativas;01AGO2018;Ciudadano;21;;;2103;Calimio Desepaz;21
40.0;Hombre;Cauca;Bolívar;No reportado;narrativas;09ABR2019;Ciudadano;21;cali_zona_urbana;;2103;Calimio Desepaz;21
26.0;Hombre;Valle del Cauca;Cali;No reportado;narrativas;09ABR2019;Ciudadano;21;cali_zona_urbana;;2103;Calimio Desepaz;21
18.0;Mujer;Valle del Cauca;Cali;No reportado;narrativas;09ABR2019;Ciudadano;21;cali_zona_urbana;;2103;Calimio Desepaz;21
30.0;Mujer;Nariño;San Andres de Tumaco;Técnica profesional;encuentas;25MAR2018;Técnico administración;21;;No;2103;Calimio Desepaz;21
22.0;Hombre;Valle del Cauca;Cali;Tecnológica;narrativas;01AGO2018;Ciudadano;13;;;1315;Calipso;13
18.0;Mujer;Valle del Cauca;Cali;Profesional;narrativas;01AGO2018;Ciudadano;13;;;1315;Calipso;13
28.0;Mujer;Valle del Cauca;Cali;Técnica profesional;narrativas;01AGO2018;Ciudadano;No reportado;;;1315;Calipso;13
18.0;Hombre;Valle del Cauca;Cali;No reportado;narrativas;09ABR2019;Ciudadano;13;cali_zona_urbana;;1315;Calipso;13
19.0;Mujer;Valle del Cauca;Cali;No reportado;narrativas;09ABR2019;Ciudadano;13;cali_zona_urbana;;1315;Calipso;13
25.0;Mujer;Nariño;San Andres de Tumaco;No reportado;narrativas;09ABR2019;Ciudadano;13;cali_zona_urbana;;1315;Calipso;13
22.0;Hombre;Valle del Cauca;Cali;No reportado;narrativas;09ABR2019;Ciudadano;13;cali_zona_urbana;;1315;Calipso;13
0.0;Hombre;Valle del Cauca;Palmira;No reportado;narrativas;16FEB2017;Ciudadano;No reportado;;;1922;Camino Real - Joaquín Borrero Sinisterra;19
24.0;Hombre;Cauca;Piendamó;Media académica o clásica;narrativas;01AGO2018;Ciudadano;19;;;1922;Camino Real - Joaquín Borrero Sinisterra;19
24.0;Mujer;Valle del Cauca;Cali;No reportado;narrativas;09ABR2019;Ciudadano;19;cali_zona_urbana;;1922;Camino Real - Joaquín Borrero Sinisterra;19
18.0;Mujer;Valle del Cauca;Cali;No reportado;narrativas;09ABR2019;Ciudadano;19;cali_zona_urbana;;1922;Camino Real - Joaquín Borrero Sinisterra;19
27.0;Hombre;Valle del Cauca;Cali;Tecnológica;narrativas;01AGO2018;Ciudadano;19;;;1923;Camino Real - Los Fundadores;19
36.0;Mujer;Valle del Cauca;Guadalajara de Buga;Especialización;encuentas;25MAR2018;Técnico administración;19;;No;1923;Camino Real - Los Fundadores;19
37.0;Hombre;No reportado;No reportado;Profesional;narrativas;16FEB2017;Ciudadano;No reportado;;;1774;Caney;17
26.0;Mujer;Valle del Cauca;Cali;Media académica o clásica;narrativas;01AGO2018;Ciudadano;17;;;1774;Caney;17
;Mujer;;;No reportado;narrativas;01AGO2018;Ciudadano;17;;;1774;Caney;17
26.0;Hombre;Cauca;Guapi;Técnica profesional;narrativas;01AGO2018;Ciudadano;17;;;1774;Caney;17
18.0;Hombre;;;No reportado;narrativas;01AGO2018;Ciudadano;17;;;1774;Caney;17
15.0;Hombre;Valle del Cauca;Buenaventura;No reportado;narrativas;09ABR2019;Ciudadano;17;cali_zona_urbana;;1774;Caney;17
19.0;Hombre;Cauca;Timbiquí;No reportado;narrativas;09ABR2019;Ciudadano;17;cali_zona_urbana;;1774;Caney;17
62.0;Hombre;Valle del Cauca;Cartago;No reportado;narrativas;09ABR2019;Ciudadano;17;cali_zona_urbana;;1774;Caney;17
19.0;Mujer;Chocó;Quibdó;No reportado;narrativas;09ABR2019;Ciudadano;17;cali_zona_urbana;;1774;Caney;17
19.0;Hombre;Valle del Cauca;Cali;No reportado;narrativas;09ABR2019;Ciudadano;17;cali_zona_urbana;;1774;Caney;17
20.0;Mujer;Valle del Cauca;Cali;No reportado;narrativas;09ABR2019;Ciudadano;17;cali_zona_urbana;;1774;Caney;17
37.0;Hombre;Valle del Cauca;Cali;No reportado;narrativas;09ABR2019;Ciudadano;17;cali_zona_urbana;;1774;Caney;17
24.0;Mujer;Valle del Cauca;Buenaventura;No reportado;narrativas;09ABR2019;Ciudadano;17;cali_zona_urbana;;1774;Caney;17
19.0;Mujer;Valle del Cauca;Cali;No reportado;narrativas;09ABR2019;Ciudadano;17;cali_zona_urbana;;1774;Caney;17
20.0;Hombre;Valle del Cauca;Cali;No reportado;narrativas;09ABR2019;Ciudadano;17;cali_zona_urbana;;1774;Caney;17
22.0;Mujer;;;Profesional;encuentas;25MAR2018;Técnico administración;17;;Si;1774;Caney;17
35.0;Mujer;Valle del Cauca;Cali;Especialización;narrativas;16FEB2017;Ciudadano;No reportado;;;1988;Cañaveralejo - Seguros Patria;19
18.0;Hombre;Valle del Cauca;Bugalagrande;Media académica o clásica;narrativas;01AGO2018;Ciudadano;17;;;1786;Cañaverales - Los Samanes;17
20.0;Hombre;Valle del Cauca;Cali;No reportado;narrativas;09ABR2019;Ciudadano;17;cali_zona_urbana;;1786;Cañaverales - Los Samanes;17
17.0;Hombre;Putumayo;Leguízamo;No reportado;narrativas;09ABR2019;Ciudadano;17;cali_zona_urbana;;1786;Cañaverales - Los Samanes;17
39.0;Mujer;;;Tecnológica;encuentas;25MAR2018;Técnico administración;17;;Si;1786;Cañaverales - Los Samanes;17
65.0;Hombre;Valle del Cauca;Cali;No reportado;narrativas;09ABR2019;Ciudadano;2;cali_zona_urbana;;206;Centenario;2
26.0;Mujer;Risaralda;Pereira;Media académica o clásica;encuentas;25MAR2018;Técnico administración;2;;No;206;Centenario;2
23.0;Hombre;Valle del Cauca;Cali;Media académica o clásica;narrativas;01AGO2018;Ciudadano;No reportado;;;1914;Champagñat;19
24.0;Mujer;Valle del Cauca;Cali;Media académica o clásica;narrativas;01AGO2018;Ciudadano;19;;;1914;Champagñat;19
21.0;Mujer;Valle del Cauca;Cali;No reportado;narrativas;09ABR2019;Ciudadano;8;cali_zona_urbana;;814;Chapinero;8
19.0;Hombre;Valle del Cauca;Cali;No reportado;narrativas;09ABR2019;Ciudadano;5;cali_zona_urbana;;505;Chiminangos Primera Etapa;5
32.0;Hombre;Valle del Cauca;Buenaventura;Especialización;encuentas;25MAR2018;Técnico administración;5;;No;505;Chiminangos Primera Etapa;5
53.0;Mujer;Valle del Cauca;Cali;Profesional;narrativas;01AGO2018;Ciudadano;No reportado;;;504;Chiminangos Segunda Etapa;5
60.0;Mujer;Valle del Cauca;Cali;Media académica o clásica;narrativas;01AGO2018;Ciudadano;No reportado;;;504;Chiminangos Segunda Etapa;5
18.0;Mujer;Valle del Cauca;Cali;Media académica o clásica;narrativas;01AGO2018;Ciudadano;5;;;504;Chiminangos Segunda Etapa;5
26.0;Mujer;;;Profesional;encuentas;25MAR2018;Técnico administración;5;;Si;504;Chiminangos Segunda Etapa;5
51.0;Mujer;Cauca;Timbío;No reportado;narrativas;09ABR2019;Ciudadano;2;cali_zona_urbana;;218;Chipichape;2
20.0;Hombre;Valle del Cauca;Cali;Media académica o clásica;narrativas;01AGO2018;Ciudadano;16;;;1697;Ciudad 2000;16
18.0;Mujer;Valle del Cauca;Cali;Media académica o clásica;narrativas;01AGO2018;Ciudadano;16;;;1697;Ciudad 2000;16
21.0;Mujer;;;Técnica profesional;narrativas;01AGO2018;Ciudadano;No reportado;;;1697;Ciudad 2000;16
18.0;Mujer;Valle del Cauca;Cali;Media académica o clásica;narrativas;01AGO2018;Ciudadano;16;;;1697;Ciudad 2000;16
;Hombre;Cauca;Timbiquí;Media académica o clásica;narrativas;01AGO2018;Ciudadano;16;;;1697;Ciudad 2000;16
21.0;Mujer;Valle del Cauca;Cali;No reportado;narrativas;09ABR2019;Ciudadano;16;cali_zona_urbana;;1697;Ciudad 2000;16
19.0;Mujer;Nariño;Ipiales;No reportado;narrativas;09ABR2019;Ciudadano;16;cali_zona_urbana;;1697;Ciudad 2000;16
19.0;Hombre;Nariño;Ipiales;No reportado;narrativas;09ABR2019;Ciudadano;16;cali_zona_urbana;;1697;Ciudad 2000;16
21.0;Mujer;Valle del Cauca;Cali;No reportado;narrativas;09ABR2019;Ciudadano;16;cali_zona_urbana;;1697;Ciudad 2000;16
20.0;Hombre;Valle del Cauca;Cali;No reportado;narrativas;09ABR2019;Ciudadano;16;cali_zona_urbana;;1697;Ciudad 2000;16
20.0;Mujer;Cauca;Guapi;No reportado;narrativas;09ABR2019;Ciudadano;16;cali_zona_urbana;;1697;Ciudad 2000;16
18.0;Hombre;Valle del Cauca;Cali;No reportado;narrativas;09ABR2019;Ciudadano;16;cali_zona_urbana;;1697;Ciudad 2000;16
17.0;Mujer;Valle del Cauca;Cali;No reportado;narrativas;09ABR2019;Ciudadano;16;cali_zona_urbana;;1697;Ciudad 2000;16
28.0;Hombre;Quindio;Armenia;No reportado;narrativas;09ABR2019;Ciudadano;16;cali_zona_urbana;;1697;Ciudad 2000;16
33.0;Hombre;Valle del Cauca;Palmira;Profesional;narrativas;16FEB2017;Ciudadano;No reportado;;;2298;Ciudad Campestre;22
